Product ID,Product Name,Category,Brand,Price (USD),Eco-Friendly Certification,Description
1,Bamboo Toothbrush,Personal Care,EcoBrush,5.99,BPA-Free,Biodegradable toothbrush made from bamboo.
2,Reusable Shopping Bag,Accessories,GreenBag,12.99,Recycled Materials,Durable shopping bag made from recycled materials.
3,Organic Cotton T-Shirt,Apparel,PureCotton,19.99,GOTS Certified,Soft t-shirt made from 100% organic cotton.
4,Biodegradable Plates,Kitchenware,EcoTableware,15.99,Compostable,"Plates made from sugarcane fiber, fully compostable."
5,Natural Cleaning Spray,Household,CleanGreen,8.99,EcoLogo,All-natural cleaning spray with no harmful chemicals.
6,Solar-Powered Charger,Electronics,SunCharge,29.99,Energy Star,Portable charger powered by solar energy.
7,Recycled Paper Notebook,Stationery,EcoWrite,6.99,FSC Certified,Notebook made from 100% recycled paper.
8,Plant-Based Candles,Home Decor,EcoGlow,14.99,Vegan,"Candles made from plant-based wax, non-toxic."
9,Stainless Steel Straws,Kitchenware,ReusableStraw,9.99,BPA-Free,Set of reusable straws made from stainless steel.
10,Eco-Friendly Laundry Detergent,Household,GreenClean,11.99,USDA BioPreferred,"Plant-based laundry detergent, safe for the environment."
11,Biodegradable Dog Waste Bags,Pet Supplies,EcoPaws,10.99,Compostable,Biodegradable bags for dog waste disposal.
12,Recycled Glass Water Bottle,Drinkware,ClearEco,19.99,Recycled Materials,Durable water bottle made from recycled glass.
13,Organic Herbal Tea,Food & Beverage,PureLeaf,7.99,USDA Organic,Herbal tea made from 100% organic ingredients.
14,Eco-Friendly Yoga Mat,Fitness,GreenYoga,39.99,Non-Toxic,Non-toxic yoga mat made from natural rubber.
15,Reusable Coffee Cup,Drinkware,EcoSip,15.99,BPA-Free,Insulated coffee cup made from sustainable materials.
16,Natural Insect Repellent,Personal Care,BugAway,12.99,DEET-Free,"Plant-based insect repellent, safe for skin."
17,Compost Bin,Gardening,EcoGarden,49.99,Compostable,Bin for composting kitchen waste.
18,Organic Baby Wipes,Baby Care,PureBaby,8.99,USDA Organic,Gentle baby wipes made from organic materials.
19,Eco-Friendly Paint,Home Improvement,GreenPaint,29.99,Low VOC,Non-toxic paint with low volatile organic compounds.
20,Reusable Food Storage Bags,Kitchenware,EcoStore,12.99,BPA-Free,"Silicone food storage bags, reusable and safe."
21,Biodegradable Cutlery,Kitchenware,EcoCutlery,10.99,Compostable,"Cutlery made from plant materials, fully compostable."
22,Organic Cotton Tote Bag,Accessories,PureTote,14.99,GOTS Certified,Eco-friendly tote bag made from organic cotton.
